NAME,TYPE,LOCATION
"adf-sftp-dev","Data factory (V2)","South Central US"
"akv-sftp-dev","Key vault","South Central US"
"asrseeddisk-BUILDCON-BuildCon-6a158948-864b-47cb-841a-0e40f85e7658","Disk","South Central US"
"asrseeddisk-DEV_MR8-DEV_MR8_-c9b456a9-b56c-462d-a11d-6f55e61f3185","Disk","South Central US"
"asrseeddisk-DEV_MRFI-DEV_MRFI-0816ba5c-280e-4fed-86e0-6121ceed54d6","Disk","South Central US"
"asrseeddisk-DEV_MRFI-DEV_MRFI-7739ff6d-d599-4ad7-97b2-7dbd87e7800c","Disk","South Central US"
"asrseeddisk-DEV_MRFI-DEV_MRFI-caee4923-7f02-4e47-80c2-dc3404acb58a","Disk","South Central US"
"asrseeddisk-DEV_WEB_-DEV_WEB_-3fba4499-ecb6-4af7-abc5-9bb0dcf95bc4","Disk","South Central US"
"asrseeddisk-DEV_WEB_-DEV_WEB_-4a44cc59-6f14-42dd-b21d-1148188d90a9","Disk","South Central US"
"asrseeddisk-DOCKERBU-DOCKERBU-bf4e3354-c4e3-4f7d-ab48-d85054ff6f0b","Disk","South Central US"
"asrseeddisk-DVKIC1_P-DVKIC1_P-22a87f45-3927-47d0-8730-893f8f27172b","Disk","South Central US"
"asrseeddisk-DVKIC1_S-DVKIC1_S-596857e1-d2fc-4eae-899e-488c6d971e73","Disk","South Central US"
"asrseeddisk-DVKIC1_S-DVKIC1_S-de34024c-96ad-450a-9327-723f5ca31ec3","Disk","South Central US"
"asrseeddisk-DVKIC1_S-DVKIC1_S-ffeb3579-bec2-4a39-879c-503ee10aaf78","Disk","South Central US"
"asrseeddisk-KEAIS_DE-DVKIC1_S-11dce18e-498d-4cdb-8986-530af5d8dd42","Disk","South Central US"
"asrseeddisk-KEAIS_DE-DVKIC1_S-2ec6d212-006a-473c-9014-994cbba576c5","Disk","South Central US"
"asrseeddisk-KEAIS_DE-DVKIC1_S-db221cf1-80b8-49ec-9daa-279c132493d2","Disk","South Central US"
"asrseeddisk-KEAIS_SH-keais_sh-541c1267-3006-4697-8e5e-5f6ecad4324b","Disk","South Central US"
"asrseeddisk-KEAIS_WI-KEAIS_WI-e3daa3ae-3624-4bf2-92b8-fd2d550cd548","Disk","South Central US"
"asrseeddisk-KIC1_SEC-KIC1_SEC-5c5f58a4-42ff-4c65-ba42-70e5298562b8","Disk","South Central US"
"asrseeddisk-KIC1_SEC-KIC1_SEC-ba260db1-3a62-48f8-afa2-51bf0257e546","Disk","South Central US"
"asrseeddisk-QA_MRFIL-QA_MRFIL-5beaa719-47e4-4bdd-838b-8fb434920b2a","Disk","South Central US"
"asrseeddisk-QA_MRFIL-qa_mrfil-7f8f87fd-6a6f-4387-a512-d8e2cf793ee2","Disk","South Central US"
"asrseeddisk-QA_MRFIL-QA_MRFIL-9bbb0cac-9c87-4bee-89b9-73f355f3b567","Disk","South Central US"
"asrseeddisk-SCA1_IIS-SCA1_IIS-8964efa3-d116-489a-8c48-556da2fa0e05","Disk","South Central US"
"asrseeddisk-WGKIB1_W-portal2_-027076ab-45f2-41f1-a065-b1a5fbd9d528","Disk","South Central US"
"automation-ftp-dev-scus","Automation Account","South Central US"
"AzureAutomationTutorialWithIdentity","Runbook","South Central US"
"AzureAutomationTutorialWithIdentityGraphical","Runbook","South Central US"
"BUILDCONTROLLER-OSdisk-00-test","Disk","South Central US"
"BUILDCONTROLLER-test","Virtual machine","South Central US"
"DEV-MR8-OSdisk-00-test","Disk","South Central US"
"DEV-MR8-test","Virtual machine","South Central US"
"DEV-MRFILE-datadisk-01-test","Disk","South Central US"
"DEV-MRFILE-datadisk-02-test","Disk","South Central US"
"DEV-MRFILE-OSdisk-00-test","Disk","South Central US"
"DEV-MRFILE-test","Virtual machine","South Central US"
"DEV-WEB-2012r2-datadisk-01-test","Disk","South Central US"
"DEV-WEB-2012r2-OSdisk-00-test","Disk","South Central US"
"DEV-WEB-2012r2-test","Virtual machine","South Central US"
"DOCKERBUILD-OSdisk-00-test","Disk","South Central US"
"DOCKERBUILD-test","Virtual machine","South Central US"
"DVKIB2-1","Virtual machine","South Central US"
"DVKIB2-1-nic","Network Interface","South Central US"
"DVKIB2-1_OsDisk_1_b010f4a9ad4e4658a12d919fe9a63838","Disk","South Central US"
"DVKIB2-2","Virtual machine","South Central US"
"DVKIB2-2-nic","Network Interface","South Central US"
"DVKIB2-2_OsDisk_1-clone-20250822","Disk","South Central US"
"DVKIB2-2_OsDisk_1-snap-20250822","Snapshot","South Central US"
"DVKIB2-2_OsDisk_1-win11-20250822.vhdx","Disk","South Central US"
"DVKIB2-2_OsDisk_1-win11-20250826.vhd","Disk","South Central US"
"DVKIB2-2_OsDisk_1_fd1b5452a1b24871a0b0ae433f579566","Disk","South Central US"
"DVKIB2-3","Virtual machine","South Central US"
"DVKIB2-3-nic","Network Interface","South Central US"
"DVKIB2-3_OsDisk_1_faab604fc4bf4ab7a16bcdeb631f2893","Disk","South Central US"
"DVKIB2-4","Virtual machine","South Central US"
"DVKIB2-4-nic","Network Interface","South Central US"
"DVKIB2-4_OsDisk_1_625847cf5a34468d928806a5e4b7cc16","Disk","South Central US"
"DVKIB2-5","Virtual machine","South Central US"
"DVKIB2-5-nic","Network Interface","South Central US"
"DVKIB2-5_OsDisk_1-clone-20250822","Disk","South Central US"
"DVKIB2-5_OsDisk_1-snap-20250822","Snapshot","South Central US"
"DVKIB2-5_OsDisk_1_99050c337af64175a4dd3b88b29be9cf","Disk","South Central US"
"DVKIB2-6","Virtual machine","South Central US"
"DVKIB2-6-nic","Network Interface","South Central US"
"DVKIB2-6_OsDisk_1_4f0569572987401baaa7f4f5c4da4d76","Disk","South Central US"
"DVKIB2-7","Virtual machine","South Central US"
"DVKIB2-7-nic","Network Interface","South Central US"
"DVKIB2-7_OsDisk_1_420317ff9be34484a4d38459a7bc502f","Disk","South Central US"
"DVKIB2-8","Virtual machine","South Central US"
"DVKIB2-8-nic","Network Interface","South Central US"
"DVKIB2-8_OsDisk_1_3335fee9960744418b3d6f51b17a5667","Disk","South Central US"
"dvkib2-9","Virtual machine","South Central US"
"dvkib2-9-nic","Network Interface","South Central US"
"dvkib2-9_OsDisk_1_b8676dfef855414197a5c687543010ec","Disk","South Central US"
"DVKIB2-AC-0","Virtual machine","South Central US"
"DVKIB2-AC-0-nic","Network Interface","South Central US"
"DVKIB2-AC-0_OsDisk_1_814a6d59d30e40ddb9eff22979e03795","Disk","South Central US"
"DVKIB2-AC-1","Virtual machine","South Central US"
"DVKIB2-AC-1-nic","Network Interface","South Central US"
"DVKIB2-AC-1_OsDisk_1_e782c9d8cff5417dbef68c7ad2bf79f1","Disk","South Central US"
"DVKIB2-AC-2","Virtual machine","South Central US"
"DVKIB2-AC-2-nic","Network Interface","South Central US"
"DVKIB2-AC-2_OsDisk_1_692b5fdc21e9443d9078a2321d2f9ea3","Disk","South Central US"
"DVKIB2-AC-3","Virtual machine","South Central US"
"DVKIB2-AC-3-nic","Network Interface","South Central US"
"DVKIB2-AC-3_OsDisk_1_96173e6b2fcb4d43ba8775e093083d49","Disk","South Central US"
"DVKIB2-APP01","Virtual machine","South Central US"
"dvkib2-app01435","Network Interface","South Central US"
"DVKIB2-APP01_OsDisk_1_8e1525feb7b1478f9e4ceda5c8f4be3b","Disk","South Central US"
"DVKIB2-DEF01","Virtual machine","South Central US"
"dvkib2-def01508","Network Interface","South Central US"
"DVKIB2-DEF01_osdisk1","Disk","South Central US"
"DVKIB2-DEF01_OsDisk1_ss","Snapshot","South Central US"
"DVKIB2-RPA01","Virtual machine","South Central US"
"dvkib2-rpa01","SQL virtual machine","South Central US"
"dvkib2-rpa01497","Network Interface","South Central US"
"dvkib2-rpa01_datadisk01","Disk","South Central US"
"DVKIB2-RPA01_OsDisk_1_742f1b371716444f8dc0caacaef8d917","Disk","South Central US"
"DVKIB2-RPA02","Virtual machine","South Central US"
"dvkib2-rpa02","SQL virtual machine","South Central US"
"dvkib2-rpa02608","Network Interface","South Central US"
"DVKIB2-RPA02_DataDisk_0","Disk","South Central US"
"DVKIB2-RPA02_OsDisk_1_b74846474fc644e7b0f2f0ba8ac0a700","Disk","South Central US"
"DVKIB2-WEB01","Virtual machine","South Central US"
"dvkib2-web01177","Network Interface","South Central US"
"DVKIB2-WEB01_OsDisk_1_2983fb975b9d45bc806d054ea09c2dd7","Disk","South Central US"
"DVKIB2-WEB02","Virtual machine","South Central US"
"dvkib2-web02469","Network Interface","South Central US"
"DVKIB2-WEB02_OsDisk_1_c3cb151d066246e88dee0e84a975e5f8","Disk","South Central US"
"DVKIC1-PM01-OSdisk-00-test","Disk","South Central US"
"DVKIC1-PM01-test","Virtual machine","South Central US"
"DVKIC1-SQL03-datadisk-01-test","Disk","South Central US"
"DVKIC1-SQL03-datadisk-02-test","Disk","South Central US"
"DVKIC1-SQL03-OSdisk-00-test","Disk","South Central US"
"DVKIC1-SQL03-test","Virtual machine","South Central US"
"DVWGB2-FTP01","Virtual machine","South Central US"
"dvwgb2-ftp01208","Network Interface","South Central US"
"DVWGB2-FTP01_OsDisk_1_0c78f25d49004de5ab80fa6a95b15f2a","Disk","South Central US"
"fsmr8devrg","Storage account","South Central US"
"fsmr8devrg-pep","Private endpoint","South Central US"
